Membership No  Date Joined  Active  
    70504      2019-5-2     no    
    95889      2019-6-8     no    
    59142      2018-4-17    no    
    22043      2020-8-7     no    
    48488      2019-1-21    no    
    93474      2020-6-24    no    
    56472      2018-1-1     no    
    82981      2018-3-8     no    
    33702      2020-5-4     no    
    10315      2017-5-1     no    
    93312      2018-10-8    no    
    27111      2018-9-6     no    
    40077      2016-10-23   no    
    25281      2016-1-5     no    
